Life Expectancy,Region,Sex,Period
76.7,W06000022,M,2004-2006
80.7,W06000022,F,2004-2006
77.1,W06000022,M,2005-2007
80.9,W06000022,F,2005-2007
77.0,W06000022,M,2006-2008
81.5,W06000022,F,2006-2008
78.7,W06000015,M,2004-2006
83.3,W06000015,F,2004-2006
78.6,W06000015,M,2005-2007
83.7,W06000015,F,2005-2007
78.7,W06000015,M,2006-2008
83.4,W06000015,F,2006-2008
76.6,W06000021,M,2004-2006
81.3,W06000021,F,2004-2006
76.5,W06000021,M,2005-2007
81.5,W06000021,F,2005-2007
76.6,W06000021,M,2006-2008
81.7,W06000021,F,2006-2008
75.5,W06000024,M,2004-2006
79.1,W06000024,F,2004-2006
75.5,W06000024,M,2005-2007
79.4,W06000024,F,2005-2007
74.9,W06000024,M,2006-2008
79.6,W06000024,F,2006-2008
